1465109186.785674776 CoordinatorMain.cc:97 in main NOTICE[1]: Command line: /home/syang0/.netbeans/remote/rcmaster.scs.stanford.edu/stephens-macbook-pro-6.local-MacOSX-x86_64/Users/syang0/Desktop/ramcloud_curr/obj.dataViz/coordinator -C tcp:host=rc19,port=12246 -l NOTICE --logFile logs/20160604234626/coordinator.rc19.log
1465109187.849944764 TcpTransport.cc:955 in sendReply ERROR[1]: Sending GET_SERVER_LIST response to tcp:host=192.168.0.119,port=41641 with 19 bytes
1465109187.860170590 TcpTransport.cc:324 in handleFileEvent ERROR[1]: Received GET_SERVER_LIST request from tcp:host=192.168.0.119,port=41641 with 8 bytes
1465109187.860183695 TcpTransport.cc:955 in sendReply ERROR[1]: Sending GET_SERVER_LIST response to tcp:host=192.168.0.119,port=41641 with 19 bytes
1465109187.870460940 TcpTransport.cc:324 in handleFileEvent ERROR[1]: Received GET_SERVER_LIST request from tcp:host=192.168.0.119,port=41641 with 8 bytes
1465109187.870479475 TcpTransport.cc:955 in sendReply ERROR[1]: Sending GET_SERVER_LIST response to tcp:host=192.168.0.119,port=41641 with 19 bytes
1465109187.880761963 TcpTransport.cc:324 in handleFileEvent ERROR[1]: Received GET_SERVER_LIST request from tcp:host=192.168.0.119,port=41641 with 8 bytes
1465109187.880780480 TcpTransport.cc:955 in sendReply ERROR[1]: Sending GET_SERVER_LIST response to tcp:host=192.168.0.119,port=41641 with 19 bytes
1465109187.891062091 TcpTransport.cc:324 in handleFileEvent ERROR[1]: Received GET_SERVER_LIST request from tcp:host=192.168.0.119,port=41641 with 8 bytes
1465109187.891080354 TcpTransport.cc:955 in sendReply ERROR[1]: Sending GET_SERVER_LIST response to tcp:host=192.168.0.119,port=41641 with 19 bytes
1465109187.901358732 TcpTransport.cc:324 in handleFileEvent ERROR[1]: Received GET_SERVER_LIST request from tcp:host=192.168.0.119,port=41641 with 8 bytes
1465109187.901377097 TcpTransport.cc:955 in sendReply ERROR[1]: Sending GET_SERVER_LIST response to tcp:host=192.168.0.119,port=41641 with 19 bytes
1465109187.911659795 TcpTransport.cc:324 in handleFileEvent ERROR[1]: Received GET_SERVER_LIST request from tcp:host=192.168.0.119,port=41641 with 8 bytes
1465109187.911678955 TcpTransport.cc:955 in sendReply ERROR[1]: Sending GET_SERVER_LIST response to tcp:host=192.168.0.119,port=41641 with 19 bytes
1465109187.921962014 TcpTransport.cc:324 in handleFileEvent ERROR[1]: Received GET_SERVER_LIST request from tcp:host=192.168.0.119,port=41641 with 8 bytes
1465109187.921981434 TcpTransport.cc:955 in sendReply ERROR[1]: Sending GET_SERVER_LIST response to tcp:host=192.168.0.119,port=41641 with 19 bytes
1465109187.932259082 TcpTransport.cc:324 in handleFileEvent ERROR[1]: Received GET_SERVER_LIST request from tcp:host=192.168.0.119,port=41641 with 8 bytes
1465109187.932277379 TcpTransport.cc:955 in sendReply ERROR[1]: Sending GET_SERVER_LIST response to tcp:host=192.168.0.119,port=41641 with 19 bytes
1465109187.942551341 TcpTransport.cc:324 in handleFileEvent ERROR[1]: Received GET_SERVER_LIST request from tcp:host=192.168.0.119,port=41641 with 8 bytes
1465109187.942569844 TcpTransport.cc:955 in sendReply ERROR[1]: Sending GET_SERVER_LIST response to tcp:host=192.168.0.119,port=41641 with 19 bytes
1465109187.952852801 TcpTransport.cc:324 in handleFileEvent ERROR[1]: Received GET_SERVER_LIST request from tcp:host=192.168.0.119,port=41641 with 8 bytes
1465109187.952871990 TcpTransport.cc:955 in sendReply ERROR[1]: Sending GET_SERVER_LIST response to tcp:host=192.168.0.119,port=41641 with 19 bytes
1465109187.963158561 TcpTransport.cc:324 in handleFileEvent ERROR[1]: Received GET_SERVER_LIST request from tcp:host=192.168.0.119,port=41641 with 8 bytes
1465109187.963176675 TcpTransport.cc:955 in sendReply ERROR[1]: Sending GET_SERVER_LIST response to tcp:host=192.168.0.119,port=41641 with 19 bytes
1465109187.973451501 TcpTransport.cc:324 in handleFileEvent ERROR[1]: Received GET_SERVER_LIST request from tcp:host=192.168.0.119,port=41641 with 8 bytes
1465109187.973469968 TcpTransport.cc:955 in sendReply ERROR[1]: Sending GET_SERVER_LIST response to tcp:host=192.168.0.119,port=41641 with 19 bytes
1465109187.983752733 TcpTransport.cc:324 in handleFileEvent ERROR[1]: Received GET_SERVER_LIST request from tcp:host=192.168.0.119,port=41641 with 8 bytes
1465109187.983771872 TcpTransport.cc:955 in sendReply ERROR[1]: Sending GET_SERVER_LIST response to tcp:host=192.168.0.119,port=41641 with 19 bytes
1465109187.994053852 TcpTransport.cc:324 in handleFileEvent ERROR[1]: Received GET_SERVER_LIST request from tcp:host=192.168.0.119,port=41641 with 8 bytes
1465109187.994073837 TcpTransport.cc:955 in sendReply ERROR[1]: Sending GET_SERVER_LIST response to tcp:host=192.168.0.119,port=41641 with 19 bytes
1465109188.004361229 TcpTransport.cc:324 in handleFileEvent ERROR[1]: Received GET_SERVER_LIST request from tcp:host=192.168.0.119,port=41641 with 8 bytes
1465109188.004380775 TcpTransport.cc:955 in sendReply ERROR[1]: Sending GET_SERVER_LIST response to tcp:host=192.168.0.119,port=41641 with 19 bytes
1465109188.014657409 TcpTransport.cc:324 in handleFileEvent ERROR[1]: Received GET_SERVER_LIST request from tcp:host=192.168.0.119,port=41641 with 8 bytes
1465109188.014676641 TcpTransport.cc:955 in sendReply ERROR[1]: Sending GET_SERVER_LIST response to tcp:host=192.168.0.119,port=41641 with 19 bytes
1465109188.024955478 TcpTransport.cc:324 in handleFileEvent ERROR[1]: Received GET_SERVER_LIST request from tcp:host=192.168.0.119,port=41641 with 8 bytes
